Date,Open,High,Low,Close,Volume,Adj Close
2007-01-03,38.68,39.060001,38.049999,38.700001,12405100.0,38.700001
2007-01-04,38.59,39.139999,38.259998,38.900002,6318400.0,38.900002
2007-01-05,38.720001,38.790001,37.599998,38.369999,6619700.0,38.369999
2007-01-08,38.220001,38.310001,37.169998,37.5,6783000.0,37.5
2007-01-09,37.599998,38.060001,37.34,37.779999,5703000.0,37.779999
2007-01-10,37.490002,37.700001,37.07,37.150002,6527500.0,37.150002
2007-01-11,37.169998,38.0,37.169998,37.400002,6465600.0,37.400002
2007-01-12,37.360001,38.209999,37.27,38.200001,4466400.0,38.200001
2007-01-16,38.400002,38.889999,37.970001,38.66,5643700.0,38.66
2007-01-17,38.700001,39.0,37.779999,37.880001,5026800.0,37.880001
2007-01-18,37.5,37.650002,36.720001,36.98,9105000.0,36.98
2007-01-19,36.689999,37.48,36.599998,37.02,6095900.0,37.02
2007-01-22,37.650002,37.900002,36.799999,36.950001,8317000.0,36.950001
2007-01-23,36.900002,37.07,36.299999,36.43,5313600.0,36.43
2007-01-24,36.509998,37.360001,36.5,37.259998,5271700.0,37.259998
2007-01-25,38.080002,38.23,36.779999,37.080002,6747600.0,37.080002
2007-01-26,37.259998,37.259998,36.299999,36.849998,4139300.0,36.849998
2007-01-29,36.700001,37.450001,36.540001,37.43,7395000.0,37.43
2007-01-30,37.290001,37.419998,36.630001,37.049999,4813500.0,37.049999
2007-01-31,36.950001,38.189999,36.759998,37.669998,7277500.0,37.669998
2007-02-01,37.950001,39.299999,37.849998,38.700001,26123100.0,38.700001
2007-02-02,37.23,37.740002,36.68,37.389999,25850700.0,37.389999
2007-02-05,37.25,37.419998,36.77,37.16,6110900.0,37.16
2007-02-06,37.200001,38.41,37.080002,38.27,8612700.0,38.27
2007-02-07,38.490002,39.52,38.400002,38.98,10503200.0,38.98
2007-02-08,38.950001,39.509998,38.669998,39.099998,5483600.0,39.099998
2007-02-09,39.189999,39.310001,38.66,38.720001,5960100.0,38.720001
2007-02-12,38.790001,38.990002,38.360001,38.849998,3835700.0,38.849998
2007-02-13,38.849998,39.610001,38.849998,39.310001,4505500.0,39.310001
2007-02-14,39.23,40.279999,39.139999,40.139999,6814100.0,40.139999
2007-02-15,40.139999,40.32,39.860001,40.060001,5088200.0,40.060001
2007-02-16,39.900002,40.439999,39.869999,40.330002,4679000.0,40.330002
2007-02-20,40.130001,41.740002,40.0,41.509998,8903400.0,41.509998
2007-02-21,41.189999,41.32,40.919998,41.259998,4508400.0,41.259998
2007-02-22,41.400002,42.0,40.889999,41.0,4926100.0,41.0
2007-02-23,41.0,41.200001,40.740002,40.779999,5497400.0,40.779999
2007-02-26,40.860001,41.200001,40.400002,40.880001,4035200.0,40.880001
2007-02-27,40.189999,40.540001,38.779999,38.830002,8850700.0,38.830002
2007-02-28,38.91,39.580002,38.080002,39.139999,7687400.0,39.139999
2007-03-01,39.32,39.32,38.049999,38.849998,9255800.0,38.849998
2007-03-02,38.32,38.869999,37.689999,37.689999,7787800.0,37.689999
2007-03-05,37.150002,38.32,37.040001,37.049999,9565600.0,37.049999
2007-03-06,37.689999,38.66,37.41,38.580002,12848200.0,38.580002
2007-03-07,38.68,39.32,38.279999,38.360001,8644600.0,38.360001
2007-03-08,38.77,39.220001,37.98,38.099998,7629300.0,38.099998
2007-03-09,38.48,38.889999,38.0,38.84,6200100.0,38.84
2007-03-12,38.639999,39.049999,38.380001,38.810001,4879000.0,38.810001
2007-03-13,38.299999,38.880001,37.689999,37.82,5204100.0,37.82
2007-03-14,37.759998,38.220001,37.259998,38.080002,8591100.0,38.080002
2007-03-15,38.099998,38.290001,37.549999,37.779999,7265700.0,37.779999
2007-03-16,37.720001,38.080002,37.52,37.849998,6865500.0,37.849998
2007-03-19,38.0,38.540001,38.0,38.450001,4226600.0,38.450001
2007-03-20,38.529999,38.689999,38.23,38.580002,3801300.0,38.580002
2007-03-21,38.549999,39.799999,38.310001,39.799999,4996400.0,39.799999
2007-03-22,39.48,39.720001,38.91,39.490002,5331500.0,39.490002
2007-03-23,39.560001,39.599998,38.98,38.98,2941500.0,38.98
2007-03-26,38.98,39.049999,38.43,39.009998,3521100.0,39.009998
2007-03-27,38.82,39.419998,38.759998,39.369999,3993600.0,39.369999
2007-03-28,39.09,39.509998,38.740002,39.34,6202200.0,39.34
2007-03-29,39.650002,39.919998,39.299999,39.810001,6405200.0,39.810001
2007-03-30,39.75,40.240002,39.419998,39.790001,5996900.0,39.790001
2007-04-02,39.849998,40.470001,39.549999,40.419998,7091300.0,40.419998
2007-04-03,40.419998,41.380001,40.400002,41.189999,5968200.0,41.189999
2007-04-04,41.220001,41.549999,40.919998,41.529999,4064700.0,41.529999
2007-04-05,41.57,41.759998,41.439999,41.68,3288400.0,41.68
2007-04-09,41.720001,42.139999,41.610001,41.66,4182700.0,41.66
2007-04-10,41.57,41.959999,41.459999,41.860001,3421800.0,41.860001
2007-04-11,41.73,41.869999,41.240002,41.68,5078400.0,41.68
2007-04-12,41.73,42.369999,41.400002,42.27,4754500.0,42.27
2007-04-13,42.189999,42.5,41.93,42.41,3610000.0,42.41
2007-04-16,43.77,45.299999,43.669998,45.200001,13444000.0,45.200001
